date,profile,risk_aversion,treatment,ndcg_at_10,recall_at_10,map_at_10,btc_momentum_14,regime
2025-03-28,conservative,1.0,T0,0.746383217745983,0.8,0.6433333333333333,0.004573668978870016,bull
2025-03-28,conservative,1.0,T1,0.7049002187620732,0.8,0.5533333333333333,0.004573668978870016,bull
2025-03-29,conservative,1.0,T0,0.7911655606302989,1.0,0.8766666666666666,-0.020695507320452,bull
2025-03-29,conservative,1.0,T1,0.7074928377286184,1.0,0.8099999999999999,-0.020695507320452,bull
2025-03-30,conservative,1.0,T0,0.7441581177745118,1.0,0.5783333333333334,-0.00296881799776727,bull
2025-03-30,conservative,1.0,T1,0.8910053898249459,1.0,0.7116666666666667,-0.00296881799776727,bull
2025-03-31,conservative,1.0,T0,0.8972566147194516,1.0,0.7595238095238095,-0.01815951177919295,bull
2025-03-31,conservative,1.0,T1,0.9261796018040774,1.0,0.8528571428571429,-0.01815951177919295,bull
2025-04-01,conservative,1.0,T0,0.92093220810809,1.0,0.9666666666666666,0.02962664790826719,bull
2025-04-01,conservative,1.0,T1,0.92093220810809,1.0,0.9666666666666666,0.02962664790826719,bull
2025-04-02,conservative,1.0,T0,0.8764986471112414,0.8,0.8,-0.050297098919606764,sideways
2025-04-02,conservative,1.0,T1,0.8830685462343769,1.0,0.86,-0.050297098919606764,sideways
2025-04-03,conservative,1.0,T0,0.8785702963163838,1.0,0.821111111111111,-0.012645867354236562,bull
2025-04-03,conservative,1.0,T1,0.8889770450371747,1.0,0.885,-0.012645867354236562,bull
2025-04-04,conservative,1.0,T0,0.8512165000626166,0.8,0.6799999999999999,-0.0023730343429048117,bull
2025-04-04,conservative,1.0,T1,0.8531499901945045,0.8,0.6888888888888889,-0.0023730343429048117,bull
2025-04-05,conservative,1.0,T0,0.680235330149013,0.8,0.7,-0.003908836800472049,bull
2025-04-05,conservative,1.0,T1,0.680235330149013,0.8,0.7,-0.003908836800472049,bull
2025-04-06,conservative,1.0,T0,0.6101643663935686,0.8,0.5857142857142856,-0.0911039168548955,bear
2025-04-06,conservative,1.0,T1,0.6038815992039883,0.8,0.5638888888888889,-0.0911039168548955,bear
2025-04-07,conservative,1.0,T0,0.6926073775370967,0.8,0.5657142857142856,-0.09444206495062746,bear
2025-04-07,conservative,1.0,T1,0.7961866200890815,1.0,0.6857142857142857,-0.09444206495062746,bear
2025-04-08,conservative,1.0,T0,0.6617067146159469,0.8,0.33238095238095233,-0.12803854960952554,bear
2025-04-08,conservative,1.0,T1,0.687493310524571,0.8,0.36571428571428577,-0.12803854960952554,bear
2025-04-09,conservative,1.0,T0,0.8596683607947859,1.0,0.788888888888889,-0.04979155041308292,sideways
2025-04-09,conservative,1.0,T1,0.8596683607947859,1.0,0.788888888888889,-0.04979155041308292,sideways
2025-04-10,conservative,1.0,T0,0.5642372242842632,0.6,0.6,-0.08661633390147161,bear
2025-04-10,conservative,1.0,T1,0.5682838646302462,0.6,0.6,-0.08661633390147161,bear
2025-04-11,conservative,1.0,T0,0.7322041038414672,1.0,0.6087301587301587,-0.011242170773301141,bull
